seed,threshold,certified_output_class_count,certified_output_classes,certified_output_class_names,usable_count,usable_errors,empirical_usable_risk,empirical_usable_coverage,simultaneous_usable_coverage_lower,mean_stop_index,feasible
0,0.8,1,3301060401,winter rapeseed,871,34,0.03903559127439724,0.0835732105162157,0.07457969582723056,0.6417910447761194,False
0,0.85,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,2741,158,0.05764319591390003,0.26300134331222413,0.24136176723251124,1.0200656694636994,True
0,0.9,3,3301010101|3301020600|3301060401,winter common soft wheat|peas|winter rapeseed,2714,103,0.03795136330140015,0.2604106697370946,0.23541574978091095,1.3898305084745763,True
0,0.95,3,3301010101|3301010401|3301060401,winter common soft wheat|winter barley|winter rapeseed,2451,52,0.021215830273357814,0.2351755900978699,0.2108012096357248,1.551611587107303,True
0,0.975,3,3301010101|3301010401|3301060401,winter common soft wheat|winter barley|winter rapeseed,2134,30,0.014058106841611996,0.20475916330838612,0.1818258531017921,1.796157450796626,False
1,0.8,1,3301060401,winter rapeseed,866,29,0.03348729792147806,0.08309345615045097,0.07412453516786277,0.6443418013856813,False
1,0.85,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,2720,156,0.057352941176470586,0.2609863749760123,0.23940286482073303,1.0477941176470589,True
1,0.9,3,3301010101|3301020600|3301060401,winter common soft wheat|peas|winter rapeseed,2703,102,0.03773584905660377,0.2593552101324122,0.23435006945853953,1.4280429152793193,True
1,0.95,3,3301010101|3301010401|3301060401,winter common soft wheat|winter barley|winter rapeseed,2440,49,0.020081967213114754,0.2341201304931875,0.2097362066282551,1.5307377049180328,True
1,0.975,3,3301010101|3301010401|3301060401,winter common soft wheat|winter barley|winter rapeseed,2104,34,0.016159695817490494,0.20188063711379772,0.17912569366723197,1.7400190114068441,False
2,0.8,1,3301060401,winter rapeseed,871,31,0.03559127439724455,0.0835732105162157,0.07457969582723056,0.6452353616532721,False
2,0.85,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,2745,161,0.05865209471766849,0.26338514680483593,0.2417216510335901,1.0469945355191257,True
2,0.9,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,2549,104,0.04080031384856807,0.24457877566685857,0.22349094361735222,1.3012946253432718,True
2,0.95,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,2224,45,0.020233812949640287,0.2133947418921512,0.19341366659648662,1.6029676258992807,False
2,0.975,2,3301010101|3301060401,winter common soft wheat|winter rapeseed,1924,25,0.012993762993762994,0.1846094799462675,0.16582395800488237,1.8331600831600832,False
