seed,threshold,output_class_index,hcat_code,class_name,emitted_count,errors,empirical_risk,risk_upper,coverage_contribution,coverage_contribution_lower,risk_certified
0,0.8,0,3301010101,winter common soft wheat,2033,213,0.10477127397934087,0.12984358445306116,0.1950681251199386,0.18198548724905617,False
0,0.8,1,3301010102,spring common soft wheat,24,0,0.0,0.285582500043042,0.002302820955670697,0.0010264084919233696,False
0,0.8,2,3301010300,rye,30,2,0.06666666666666667,0.3529499232544945,0.0028785261945883708,0.0014141707008887838,False
0,0.8,3,3301010401,winter barley,267,18,0.06741573033707865,0.13553391804331705,0.0256188831318365,0.020646552441339616,False
0,0.8,4,3301010402,spring barley,499,51,0.10220440881763528,0.15614011538908973,0.0478794857033199,0.041031230627564974,False
0,0.8,5,3301010500,oats,33,2,0.06060606060606061,0.32591777939200584,0.0031663788140472078,0.0016150534710405173,False
0,0.8,6,3301010600,grain maize,67,3,0.04477611940298507,0.19890527026322247,0.006428708501247361,0.0040829500594171675,False
0,0.8,7,3301020100,beans,19,3,0.15789473684210525,0.5666757276470213,0.0018230665899059682,0.0007218417502644625,False
0,0.8,8,3301020600,peas,263,19,0.07224334600760456,0.14248235025596032,0.025235079639224715,0.020301778340685583,False
0,0.8,9,3301030000,potatoes,113,35,0.30973451327433627,0.4726444875225837,0.010842448666282863,0.007703068663798218,False
0,0.8,10,3301060401,winter rapeseed,871,34,0.03903559127439724,0.06661628336055038,0.0835732105162157,0.07457969582723056,True
0,0.8,11,3301070000,fresh vegetables,7,4,0.5714285714285714,0.9788071156301538,0.0006716561120706199,0.0001194789822512865,False
0,0.8,12,3301090301,alfalfa,9,2,0.2222222222222222,0.8001316088409096,0.0008635578583765112,0.0001994156649716139,False
0,0.8,13,3301090303,clover,522,92,0.17624521072796934,0.23912913790830806,0.05008635578583765,0.043081960917918716,False
0,0.8,14,3301110000,fallow land,3,2,0.6666666666666666,0.9998958224807547,0.0002878526194588371,1.2214166634993973e-05,False
0,0.8,15,3301150200,buckwheat,40,1,0.025,0.2337802753818968,0.0038380349261178275,0.002097933650520911,False
0,0.85,0,3301010101,winter common soft wheat,1872,137,0.07318376068376069,0.09593245612481241,0.17962003454231434,0.1669641466148074,True
0,0.85,1,3301010102,spring common soft wheat,13,0,0.0,0.4625066708315637,0.001247361350988294,0.0003894301023988911,False
0,0.85,2,3301010300,rye,27,2,0.07407407407407407,0.384768933055107,0.0025906735751295338,0.0012177087960137944,False
0,0.85,3,3301010401,winter barley,260,17,0.06538461538461539,0.13398020637439348,0.02494722701976588,0.020043406823299748,False
0,0.85,4,3301010402,spring barley,361,25,0.06925207756232687,0.1264288009187405,0.03463826520821339,0.02882648441341673,False
0,0.85,5,3301010500,oats,14,0,0.0,0.43813478682208873,0.0013433122241412398,0.0004415594355636765,False
0,0.85,6,3301010600,grain maize,61,3,0.04918032786885246,0.21664514237750676,0.005853003262329687,0.003629275481199401,False
0,0.85,7,3301020100,beans,9,1,0.1111111111111111,0.7125283202246291,0.0008635578583765112,0.0001994156649716139,False
0,0.85,8,3301020600,peas,226,10,0.04424778761061947,0.11102641964092558,0.021684897332565727,0.017128761022647487,False
0,0.85,9,3301030000,potatoes,57,15,0.2631578947368421,0.4944569851547253,0.005469199769717904,0.0033302177542287037,False
0,0.85,10,3301060401,winter rapeseed,869,21,0.024165707710011506,0.04739565539741124,0.0833813087699098,0.07439762061770383,True
0,0.85,11,3301070000,fresh vegetables,4,2,0.5,0.9927480719738079,0.00038380349261178274,3.005592395455281e-05,False
0,0.85,12,3301090301,alfalfa,3,0,0.0,0.9321395595851273,0.0002878526194588371,1.2214166634993973e-05,False
0,0.85,13,3301090303,clover,388,57,0.14690721649484537,0.21691588154533922,0.03722893878334293,0.031198850195177985,False
0,0.85,14,3301110000,fallow land,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
0,0.85,15,3301150200,buckwheat,35,0,0.0,0.20594084407192315,0.0033582805603530994,0.0017511402601062542,False
0,0.9,0,3301010101,winter common soft wheat,1670,79,0.04730538922155689,0.06766131767780374,0.1602379581654193,0.14816800023146892,True
0,0.9,1,3301010102,spring common soft wheat,4,0,0.0,0.8670426025763752,0.00038380349261178274,3.005592395455281e-05,False
0,0.9,2,3301010300,rye,25,1,0.04,0.3492087835862259,0.002398771828823642,0.0010895474679002426,False
0,0.9,3,3301010401,winter barley,241,11,0.04564315352697095,0.11025798896776767,0.023124160429859913,0.01841142615881952,False
0,0.9,4,3301010402,spring barley,229,12,0.05240174672489083,0.12193244087110992,0.021972749952024563,0.01738486264848038,False
0,0.9,5,3301010500,oats,5,0,0.0,0.8009464147232513,0.00047975436576472844,5.4687155785049235e-05,False
0,0.9,6,3301010600,grain maize,55,1,0.01818181818181818,0.17548788636789472,0.005277298023412013,0.003181811304224902,False
0,0.9,7,3301020100,beans,5,0,0.0,0.8009464147232513,0.00047975436576472844,5.4687155785049235e-05,False
0,0.9,8,3301020600,peas,170,4,0.023529411764705882,0.0925972279558545,0.016311648436000768,0.012394913657549522,True
0,0.9,9,3301030000,potatoes,24,8,0.3333333333333333,0.6923757119421021,0.002302820955670697,0.0010264084919233696,False
0,0.9,10,3301060401,winter rapeseed,874,20,0.02288329519450801,0.045591115637597504,0.08386106313567454,0.07485283589189251,True
0,0.9,11,3301070000,fresh vegetables,3,1,0.3333333333333333,0.9897587719426569,0.0002878526194588371,1.2214166634993973e-05,False
0,0.9,12,3301090301,alfalfa,2,0,0.0,0.9823223304703363,0.00019190174630589137,2.419106804874005e-06,False
0,0.9,13,3301090303,clover,230,21,0.09130434782608696,0.1731382980259389,0.02206870082517751,0.0174702789054475,False
0,0.9,14,3301110000,fallow land,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
0,0.9,15,3301150200,buckwheat,28,0,0.0,0.2504233106760114,0.0026866244482824796,0.0012826631315525638,False
0,0.95,0,3301010101,winter common soft wheat,1401,33,0.023554603854389723,0.040733484196046096,0.1344271732872769,0.12323856562643576,True
0,0.95,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
0,0.95,2,3301010300,rye,18,0,0.0,0.3613403985314054,0.0017271157167530224,0.000663535910131352,False
0,0.95,3,3301010401,winter barley,204,6,0.029411764705882353,0.09345108352482034,0.01957397812320092,0.015257828176974075,True
0,0.95,4,3301010402,spring barley,111,4,0.036036036036036036,0.13911298626473662,0.010650546919976972,0.007541769055555925,False
0,0.95,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
0,0.95,6,3301010600,grain maize,42,0,0.0,0.17482882612590378,0.004029936672423719,0.002238988292242783,False
0,0.95,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
0,0.95,8,3301020600,peas,84,2,0.023809523809523808,0.14091221603902743,0.008059873344847437,0.005395640912423616,False
0,0.95,9,3301030000,potatoes,5,1,0.2,0.9093976624888891,0.00047975436576472844,5.4687155785049235e-05,False
0,0.95,10,3301060401,winter rapeseed,846,13,0.015366430260047281,0.035620784963029534,0.08117443868739206,0.07230481583231496,True
0,0.95,11,3301070000,fresh vegetables,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
0,0.95,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
0,0.95,13,3301090303,clover,93,3,0.03225806451612903,0.14675939635524582,0.008923431203223949,0.0061038513594487975,False
0,0.95,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
0,0.95,15,3301150200,buckwheat,18,0,0.0,0.3613403985314054,0.0017271157167530224,0.000663535910131352,False
0,0.975,0,3301010101,winter common soft wheat,1137,19,0.016710642040457344,0.03394618608562364,0.10909614277489925,0.09891021862991045,True
0,0.975,1,3301010102,spring common soft wheat,0,0,,1.0,0.0,0.0,False
0,0.975,2,3301010300,rye,6,0,0.0,0.7394996345206543,0.0005757052389176742,8.483052528884816e-05,False
0,0.975,3,3301010401,winter barley,178,5,0.028089887640449437,0.09774622594285784,0.017079255421224335,0.013065030025386393,True
0,0.975,4,3301010402,spring barley,45,2,0.044444444444444446,0.24923010036856746,0.004317789291882556,0.0024527858165031002,False
0,0.975,5,3301010500,oats,0,0,,1.0,0.0,0.0,False
0,0.975,6,3301010600,grain maize,26,0,0.0,0.2668606345527228,0.002494722701976588,0.0011533261016595242,False
0,0.975,7,3301020100,beans,0,0,,1.0,0.0,0.0,False
0,0.975,8,3301020600,peas,29,1,0.034482758620689655,0.3087032309235598,0.002782575321435425,0.0013481594843914868,False
0,0.975,9,3301030000,potatoes,2,1,0.5,0.9998437377910611,0.00019190174630589137,2.419106804874005e-06,False
0,0.975,10,3301060401,winter rapeseed,819,6,0.007326007326007326,0.02387339116172676,0.07858376511226252,0.06985060444649527,True
0,0.975,11,3301070000,fresh vegetables,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
0,0.975,12,3301090301,alfalfa,0,0,,1.0,0.0,0.0,False
0,0.975,13,3301090303,clover,26,1,0.038461538461538464,0.33813318165070183,0.002494722701976588,0.0011533261016595242,False
0,0.975,14,3301110000,fallow land,0,0,,1.0,0.0,0.0,False
0,0.975,15,3301150200,buckwheat,9,0,0.0,0.592113913451976,0.0008635578583765112,0.0001994156649716139,False
1,0.8,0,3301010101,winter common soft wheat,2009,201,0.10004977600796416,0.12483180624728471,0.1927653041642679,0.17974417070487425,False
1,0.8,1,3301010102,spring common soft wheat,31,1,0.03225806451612903,0.291741994784931,0.0029744770677413166,0.0014806718193249857,False
1,0.8,2,3301010300,rye,36,5,0.1388888888888889,0.4180029822420462,0.0034542314335060447,0.0018197781056163986,False
1,0.8,3,3301010401,winter barley,275,24,0.08727272727272728,0.15977681367513824,0.026386490117060065,0.021337030566007997,False
1,0.8,4,3301010402,spring barley,493,45,0.09127789046653144,0.1435236656370093,0.04730378046440223,0.04049693515733699,False
1,0.8,5,3301010500,oats,33,1,0.030303030303030304,0.2765298436097638,0.0031663788140472078,0.0016150534710405173,False
1,0.8,6,3301010600,grain maize,64,2,0.03125,0.18137644433469993,0.006140855881788524,0.003855391356543225,False
1,0.8,7,3301020100,beans,19,2,0.10526315789473684,0.5050081306040123,0.0018230665899059682,0.0007218417502644625,False
1,0.8,8,3301020600,peas,267,18,0.06741573033707865,0.13553391804331705,0.0256188831318365,0.020646552441339616,False
1,0.8,9,3301030000,potatoes,83,26,0.3132530120481928,0.5051683002247747,0.007963922471694493,0.005317462901012426,False
1,0.8,10,3301060401,winter rapeseed,866,29,0.03348729792147806,0.059653135702299076,0.08309345615045097,0.07412453516786277,True
1,0.8,11,3301070000,fresh vegetables,8,5,0.625,0.9818537207906112,0.0007676069852235655,0.0001578683586607177,False
1,0.8,12,3301090301,alfalfa,7,0,0.0,0.6843074822205404,0.0006716561120706199,0.0001194789822512865,False
1,0.8,13,3301090303,clover,509,94,0.18467583497053044,0.2493383307450362,0.048838994434849355,0.04192235377634801,False
1,0.8,14,3301110000,fallow land,5,2,0.4,0.9679879387767981,0.00047975436576472844,5.4687155785049235e-05,False
1,0.8,15,3301150200,buckwheat,37,0,0.0,0.19598117588127817,0.0035501823066589906,0.0018887907168974039,False
1,0.85,0,3301010101,winter common soft wheat,1850,133,0.0718918918918919,0.09462616221117465,0.17750911533294952,0.16491420841874815,True
1,0.85,1,3301010102,spring common soft wheat,12,0,0.0,0.4896076357552498,0.0011514104778353484,0.0003389362651199379,False
1,0.85,2,3301010300,rye,31,3,0.0967741935483871,0.38952737287008565,0.0029744770677413166,0.0014806718193249857,False
1,0.85,3,3301010401,winter barley,266,21,0.07894736842105263,0.15064651376405397,0.025522932258683555,0.02056032937963792,False
1,0.85,4,3301010402,spring barley,360,25,0.06944444444444445,0.12676895830946885,0.03454231433506045,0.02873878945044428,False
1,0.85,5,3301010500,oats,14,0,0.0,0.43813478682208873,0.0013433122241412398,0.0004415594355636765,False
1,0.85,6,3301010600,grain maize,58,2,0.034482758620689655,0.19845522710643348,0.00556515064287085,0.0034047087566236867,False
1,0.85,7,3301020100,beans,15,2,0.13333333333333333,0.5961308233295759,0.0014392630972941854,0.0004951623042791509,False
1,0.85,8,3301020600,peas,224,10,0.044642857142857144,0.11198197987998726,0.021492995586259837,0.01695815081757346,False
1,0.85,9,3301030000,potatoes,44,10,0.22727272727272727,0.49019718779195565,0.00422183841872961,0.002381237973354544,False
1,0.85,10,3301060401,winter rapeseed,870,23,0.026436781609195402,0.05040020808338013,0.08347725964306275,0.07448865640198488,True
1,0.85,11,3301070000,fresh vegetables,3,2,0.6666666666666666,0.9998958224807547,0.0002878526194588371,1.2214166634993973e-05,False
1,0.85,12,3301090301,alfalfa,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
1,0.85,13,3301090303,clover,377,50,0.13262599469496023,0.20153096742162932,0.036173479178660525,0.030231282911472812,False
1,0.85,14,3301110000,fallow land,4,2,0.5,0.9927480719738079,0.00038380349261178274,3.005592395455281e-05,False
1,0.85,15,3301150200,buckwheat,34,0,0.0,0.21130814901807382,0.0032623296872001536,0.001682893043495004,False
1,0.9,0,3301010101,winter common soft wheat,1659,79,0.047619047619047616,0.06810508875324803,0.1591824985607369,0.14714619811980867,True
1,0.9,1,3301010102,spring common soft wheat,2,0,0.0,0.9823223304703363,0.00019190174630589137,2.419106804874005e-06,False
1,0.9,2,3301010300,rye,31,3,0.0967741935483871,0.38952737287008565,0.0029744770677413166,0.0014806718193249857,False
1,0.9,3,3301010401,winter barley,248,11,0.04435483870967742,0.10725057797473164,0.023795816541930533,0.019011777936353003,False
1,0.9,4,3301010402,spring barley,239,10,0.04184100418410042,0.10519159700639119,0.02293225868355402,0.01824009900518231,False
